incentive_id,incentive_title,company_id,company_name,ranking_position,match_score,deterministic_score,reasons
ec01e46c-100d-4d02-b29a-c9fd3fe88757,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos,034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,2.5,CAI Code 16230 é elegível.; Atividade de fabricação de mobiliário pode ser relevante para a Igreja Católica.
ec01e46c-100d-4d02-b29a-c9fd3fe88757,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos,030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",2,0.85,2.5,"Atividade de construção e compra de propriedades é relevante.; Possui CAE Code 41200, que pode estar relacionado com a aquisição de imóveis."
ec01e46c-100d-4d02-b29a-c9fd3fe88757,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos,096ec6f2-c03b-451a-a0a6-7aef4e361a2b,"ABSOLUTPARADOX, UNIPESSOAL, LDA",3,0.8,2.5,"CAI Code 68100 não é elegível, mas a atividade de compra e venda de imóveis é relevante.; Tamanho micro pode ser um fator positivo para o incentivo."
ec01e46c-100d-4d02-b29a-c9fd3fe88757,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos,66e3c161-5a5f-4bb1-a693-7b1531e604e2,"MANUEL FERNANDO C. MAGALHÃES, UNIPESSOAL, LDA",4,0.75,2.5,Atividade de compra e venda de imóveis é relevante.; Tamanho pequeno pode ser um fator positivo.
ec01e46c-100d-4d02-b29a-c9fd3fe88757,Igreja católica - Aquisição onerosa de imóveis e gratuita de bens para fins religiosos,7eb5a68a-1f69-42a8-a615-ec4a96245945,"C.R.P.B. - PRODUTOS PARA RAMO AUTOMÓVEL, SOCIEDADE UNIPESSOAL, LDA",5,0.7,2.5,"Embora não esteja diretamente relacionado, a empresa opera no setor de comércio que pode ser relevante.; Tamanho pequeno é um fator positivo."
3b624630-40ba-4132-bc27-91b3100f8985,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM,034955aa-07aa-4550-88fd-b60f76a89332,"MUNDOCALMO, LDA",1,0.95,-2.0,CAE code 16230 é elegível.; Setor de tecnologia está alinhado com a digitalização.; Atividade de fabricação de mobiliário pode contribuir para soluções de smart cities.
3b624630-40ba-4132-bc27-91b3100f8985,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM,6e486370-b6ae-42d5-8776-65e1761da06e,"DANIJO - INDÚSTRIA DE CONFECÇÃO, LDA",2,0.75,-2.0,"Possui CAE codes que podem ser considerados para inovação.; Setor de tecnologia pode ser explorado na produção.; Tamanho da empresa é pequeno, o que pode facilitar a implementação de soluções."
3b624630-40ba-4132-bc27-91b3100f8985,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM,5e56081a-1e10-448d-b185-be5184a10242,"PRO SENA - EMPRESA PROMOTORA DE SERVIÇOS DE ENSINO, S.A.",3,0.7,-2.0,Atividade de educação pode ser relevante para capacitação em smart cities.; Tamanho médio permite acesso a financiamento.; Região Centro é uma área de interesse para o incentivo.
3b624630-40ba-4132-bc27-91b3100f8985,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM,030ded51-5550-4740-8f53-6f5045e2091e,"OLICOF - CONSTRUCÕES, LDA",4,0.65,-2.0,Setor de construção pode se beneficiar de digitalização.; Tamanho médio permite acesso a financiamento.; Atividade de construção é relevante para desenvolvimento urbano.
3b624630-40ba-4132-bc27-91b3100f8985,Digitalização para a eficiência de serviços aos cidadãos e empresas na Administração Local – Cidades Inteligentes - ITI CIM,a2292753-f2d7-48f8-af63-af7fb1a15c84,"AS - SERVIÇOS SOCIAIS E DE SAÚDE, LDA",5,0.6,-2.0,Atividade de serviços sociais pode ser integrada em soluções de smart cities.; Tamanho pequeno pode facilitar a implementação de novas tecnologias.; Região Centro é uma área de interesse para o incentivo.
