company_name,cae_primary_label,trade_description_native,website
"ELECTRO ARRAIOL - COMÉRCIO E REPRESENTAÇÕES, LDA",Retail sale of electrical household appliances in specialised stores,Retalhista de eletrodomésticos e reparações,
"DIVEQUIPAMENTO, UNIPESSOAL, LDA",Wholesale of machine tools,"Comércio de máquinas-ferramentas, suas peças e acessórios. Reparações de máquinas-ferramentas. Comércio de máquinas, ferramentas, e outros equipamentos",
"MIRA BERRIES, LDA",Growing of other tree and bush fruits and nuts,Produção e comercialização de frutas e produtos hortícolas/ outras culturas permanentes/ comércio por grosso e a retalho de frutas e produtos hortícolas/ prestação de serviços de consultoria na área agrícola/ prestação de serviços conexos ou similares aos anteriormente referidos.,www.monocle.com
"CORTIÇAS H.P.EXPORTAÇÃO E IMPORTAÇÃO, LDA",Manufacture of other products of cork,Comércio e transformação de artigos de cortiça - 100%,
"HELENIAMIL, UNIPESSOAL, LDA",Construction of residential and non-residential buildings,Construção civil. Promoção imobiliária. Compra e venda de imóveis e revenda dos adquiridos para esse fim. Arrendamento de bens imobiliários. Mediação imobiliária. Angariação e avaliação imobiliária. Alojamento mobilado para turistas (Alojamento local). Outros locais de alojamento. Administração de condomínios,
"JOSÉ ESTEVES - GESTÃO EMPRESARIAL, UNIPESSOAL, LDA","Accounting, bookkeeping and auditing activities; tax consultancy","Serviços de contabilidade, fiscalidade e gestão de empresas",
"DREAMING KVOLTS TECNOLOGY, LDA",Wired telecommunications activities,"Consultoria e instalação de telecomunicações por fio e sem fio e por satélite. Comércio, aluguer e fornecimento de produtos e equipamentos relacionadas com a atividade. Engenharia informática, redes e telecomunicações. Marketing digital. Manutenções elétricas nas áreas da construção civil, industrial, comercial e outras. Instalação e manutenção de sistemas avac e climatização. Construção civil. Organização de eventos audiovisuais. Atividades de transporte de refeições e encomendas ao domicílio. Transporte ocasional de passageiros em veículos ligeiros. Organização de atividades de animação turística, pode compreender também o transporte não regular de passageiros em veículos automóveis ligeiros (em regime de aluguer), com ou sem taxímetro, segundo itinerários, horários e preços a negociar caso a caso. Inclui aluguer com condutor",www.kvolts.pt
"IMARI CASA, UNIPESSOAL, LDA","Retail trade of other household articles, n.s. in specialised stores","Comércio a retalho de têxteis, mobiliário, artigos de iluminação, louças, cutelaria, artigos similares para uso doméstico, de outros artigos para o lar não especificados em estabelecimentos especializados, flores frescas, secas, artificias, plantas ornamentais, vestuário acessórios, calçado, eletrodomésticos e produtos alimentares. Importação e exportação de materiais para a construção civil, indústria de construção civil e empreitadas de obras publicas. Atividade de design, de decoração de interiores, serviços de pintura e colocação de papel de parede. Prestação de serviços de assessoria, intermediação de crédito e consultoria para negócios e gestão",
"PASTELARIA E PADARIAS VILALVENSE 2, LDA",Manufacture of bread,Fabricação e Comércio de padaria e pastelaria.,
"KAMOK - EXPLORAÇÃO HOTELEIRA, LDA",Bar,"Exploração hoteleira e turística, restauração, comércio, importação e exportação de equipamentos hoteleiros, compra e venda de imóveis e revenda dos adquiridos para esse fim, outros estabelecimentos de bebidas s/espetáculo e pastelarias e casas de chá",www.meulimao.pt
"LENAUTO, LDA",Maintenance and repair of motor vehicles,Reparação de todo tipo de veículos automóveis e motorizados e comercialização de todo o tipo de materiais e peças novos e usados para a reparação dos mesmos veículos,
"RPS TEJO, S.A.",Buying and selling of own real estate,"Compra e venda de bens imóveis, a revenda dos adquiridos para esse fim, a gestão, arrendamento, promoção e exploração de bens imobiliários, administração de imóveis por conta de outrem, administração e gestão de condomínios e ainda a prestação de serviços de consultadoria no âmbito das áreas anteriores designadamente gestão e apoio a projetos imobiliários, comercialização de produtos do ramo imobiliário e projetos e montagem de investimentos imobiliários.",
"FLEXIPLAN - RECURSOS HUMANOS E EMPRESA DE TRABALHO TEMPORÁRIO, S.A.",Temporary employment agency activities,Cedência de trabalho temporário - 100%,
"MCPALACIOS INTERNACIONAL, UNIPESSOAL, LDA",Retail sale of fruit and vegetables in specialised stores,"Compra e venda de frutas e produtos hortícolas, bem como a sua importação, exportação e distribuição. Fabricação de sumos de frutas. Compra e venda de produtos alimentares. Compra e venda e distribuição de embalagens. Gestão comercial de produtos. Organização de eventos, espetáculos e concertos",
"TFGEST - GESTÃO E COMÉRCIO DE PRODUTOS PETROLÍFEROS, LDA",Retail sale of automotive fuel in specialised stores,"Gestão e comércio a retalho de postos de combustível, manutenção e reparação de veículos automóveis, comércio a retalho de produtos alimentares, bebidas, tabaco em lojas de conveniência. Comércio a retalho de jornais, revistas e artigos de papelaria, em estabelecimentos especializados.",www.tfreitas.pt
"SORTUDOS E OTIMISTAS, UNIPESSOAL, LDA",Beauty salons,"Atividades próprias de um instituto de beleza, designadamente, massagens, tratamentos do rosto e corpo, depilação, manicura e pédicure. Atividades relacionadas com a manutenção e o bem-estar físico. Comércio a retalho de produtos alimentares. Comércio a retalho de cosmética e de higiene. Retalhista de automóveis. Atividades de representação nos meios de comunicação.",
"RISING PROSPERITY, UNIPESSOAL, LDA",Business and other management consultancy activities,Outras actividades de consultoria para os negócios e a gestão,
"INFORHABITAT, LDA",Tourist apartments without restaurant,Apartamentos turísticos sem restaurante,www.inforhabitatgroup.com
"MOLONI, LDA",Other information technology and computer service activities,"Desenvolvimento e comercialização de software, aplicações móveis e plataformas de internet, comércio de equipamento informático, formação, publicidade, consultadoria, alojamento de dados em servidores de internet.",www.moloni.pt
"CRUZEIRO E CRUZEIRUS, LDA",Traditional restaurants,Restaurantes tipo tradicional,
